Country,Avg_Years,N
Japan,6.320756883265991,1860
Germany,5.779536802172386,1530
Israel,5.405495257651315,168
United Kingdom,5.0937101746136655,2035
Italy,5.088342204767316,1236
France,4.905329136609759,1111
Spain,4.5004827263229945,760
Denmark,4.209741950506996,194
United States,4.1394928605463,7306
Canada,4.10811900370074,944
Argentina,4.034889098544129,74
Netherlands,4.011841761128084,492
Ireland,4.004942354018329,154
Belgium,3.927610701197646,209
Hong Kong,3.8315338588240486,124
Switzerland,3.792004823832339,336
Finland,3.6343950990208223,121
Romania,3.622358249721836,211
Egypt,3.6173433780892466,1223
Kuwait,3.549949480134285,63
Brazil,3.54410840987767,486
Tajikistan,3.5376648199088243,53
Croatia,3.405348587073433,56
Australia,3.3349252776548974,933
Czech Republic,3.287898775997155,179
