Reason,count
Investigation by Journal/Publisher,30522
Unreliable Results and/or Conclusions,19569
Investigation by Third Party,17463
Concerns/Issues about Data,15715
Concerns/Issues about Referencing/Attributions,14663
Notice - Limited or No Information,12082
Paper Mill,11738
Concerns/Issues about Peer Review,11343
Compromised Peer Review,11305
Concerns/Issues about Results and/or Conclusions,9920
Computer-Aided Content or Computer-Generated Content,8090
Date of Article and/or Notice Unknown,6923
Duplication of/in Image,5325
Breach of Policy by Author,4795
Removed,4037
Investigation by Company/Institution,3809
Euphemisms for Plagiarism,3669
Duplication of/in Article,3645
Concerns/Issues about Image,3419
Objections by Author(s),3099
